minutes,player_name,TS%,AST,TO,USG,ORR,DRR,REBR,PER
0,Sylvester,0.603799494,31.55622956,14.24746167,33.69066321,8.162352924,17.3978356,13.29343035,27.59468155
0,Marvin the Martian,0.600395538,31.09925367,13.83443488,29.8509428,7.521710067,25.82922539,11.12702255,17.21643503
0,Road Runner,0.612819885,23.66157917,13.96522932,38.26477216,6.721815603,24.98885503,10.6072603,22.15957319
0,Foghorn Leghorn,0.611130448,27.53081107,14.59190945,32.15884536,6.463586397,22.84847742,15.54810432,26.6869544
0,Bugs Bunny,0.643298649,30.74195891,16.08148215,33.95303169,6.483486943,21.32047934,14.70366856,28.85053914
0,Elmer Fudd,0.628033468,31.12086213,16.4804886,38.92711843,4.434927772,23.36856022,13.10832434,27.80710735
0,Lola Bunny,0.634743081,31.91329366,13.67378663,37.08012484,4.693477281,21.16967829,13.03917286,29.92295019
0,Porky Pig,0.610317692,33.58652861,15.47493523,36.52289224,7.008949569,11.66926299,16.09144426,36.90147221
0,Tasmanian Devil,0.625992264,30.65935731,15.42685756,37.275612,2.457328941,16.41536097,8.627176491,25.82556682
0,Gossamer,0.622782387,30.08762092,14.26751452,34.56266992,6.089879588,16.63022873,12.24902132,28.5886175
0,Granny,0.606194203,27.54213144,13.70730981,33.13183993,6.87535865,20.91684937,15.76673004,28.87835699
0,Wile E. Coyote,0.609010259,33.6862225,14.74205808,32.44634552,7.70345443,21.91226838,13.99166173,25.36849093
0,Tweety,0.611623577,25.74530756,13.36188477,36.4477182,5.59375203,25.22756361,11.27017729,22.59903444
0,Penelope,0.603154385,28.86248704,14.39304798,30.04471464,8.254342362,18.33200628,10.54842497,20.61603322
0,Daffy Duck,0.630206016,27.46569398,14.08696147,34.31330802,7.522477176,21.28078005,15.60149493,30.1176948
12,Sylvester,0.623123663,28.4368915,14.51845125,36.91595849,7.560012682,20.86748236,11.88714118,26.21960152
12,Marvin the Martian,0.614105571,31.36891654,14.46028546,33.12941109,6.346023184,21.28347372,12.674433,24.8984933
12,Road Runner,0.625533295,31.67030955,13.04173613,35.4439876,4.735820905,25.66393442,12.37920054,25.03529632
12,Foghorn Leghorn,0.622012721,30.60799533,17.19679014,35.73313416,6.99577721,16.7337668,14.35317276,30.29716807
12,Bugs Bunny,0.635497835,32.26470433,16.39606626,36.19241167,4.641905792,25.01072139,15.91459775,29.57975685
12,Elmer Fudd,0.629745376,29.04524016,16.23199547,33.60361409,4.455857357,19.82068053,15.48867867,30.14650329
12,Lola Bunny,0.634961458,30.61655904,14.74895441,41.53661419,7.310944869,23.96643098,16.70400051,34.57688917
12,Porky Pig,0.612434013,30.27860061,16.5612962,36.98630835,5.740640223,19.56771093,13.84497988,28.67751248
12,Tasmanian Devil,0.604380002,24.20775574,15.35913838,38.90391858,5.160228597,25.78579324,11.12297883,21.95449159
12,Gossamer,0.614239688,32.53436923,13.82674819,33.55601969,6.447275326,13.67960098,11.65896762,28.90385915
12,Granny,0.623773461,29.48819186,14.06750666,33.55993254,5.270911121,22.13962608,15.74671758,29.74463801
12,Wile E. Coyote,0.620013442,28.28285993,12.98426969,35.19413226,5.021356545,23.69252623,14.01356741,27.68820281
12,Tweety,0.626919382,29.13326384,12.57238823,37.92785371,6.953971901,25.83070932,13.15525817,27.0306297
12,Penelope,0.624407862,26.54351011,15.04563484,29.93608113,9.270228987,18.20411097,9.461948628,19.48646723
12,Daffy Duck,0.63841413,30.0661452,15.36645367,40.59322893,5.821208217,20.25847358,13.1225294,31.51037395
24,Sylvester,0.61651672,31.9526436,14.10614147,36.53934382,7.827363083,17.75348786,12.65510929,29.12065682
24,Marvin the Martian,0.616966912,32.66094517,15.17965043,33.99341834,5.877046428,28.66333947,13.47657893,21.96574767
24,Road Runner,0.609591643,30.16889385,13.82281425,37.73176252,5.676603557,27.038394,13.81081088,25.81529587
24,Foghorn Leghorn,0.602790121,31.99950799,17.37265963,34.23132124,5.796574143,23.00691262,14.25746722,24.62416718
24,Bugs Bunny,0.633868643,33.19750261,16.20231583,35.80767332,7.909112203,15.31988051,14.8421021,33.15001857
24,Elmer Fudd,0.610995334,31.63756988,16.7396191,33.16498977,4.048223631,22.04138501,15.04800482,26.903572
24,Lola Bunny,0.635128862,34.11218692,15.40940732,39.15665285,2.987406871,23.44074802,14.39833985,31.34792891
24,Porky Pig,0.597276556,29.34389288,15.39911275,31.55356812,4.444306081,14.05433511,10.43658724,24.12398056
24,Tasmanian Devil,0.6119519,26.75743059,15.8182153,34.40983302,6.232423741,24.14431231,6.958451898,14.65613095
24,Gossamer,0.620670537,33.96150308,15.24385886,34.26588176,5.354195669,11.28764363,16.28369584,37.22323033
24,Granny,0.625329582,28.67361853,15.20674968,36.98644,5.229841582,22.39201036,13.63276175,28.09165499
24,Wile E. Coyote,0.618267174,29.15698812,13.37976063,35.23652282,7.63882401,18.17759615,12.88970422,28.67923048
24,Tweety,0.605152589,27.82296491,13.65031442,36.44384927,6.556248643,25.03986613,12.46169758,23.80067795
